Date,Mine & HODL ETH Rev,Mine & Sell USD Rev,50% Sale ETH Rev,50% sale USD Rev,ETH Price,Mine & HODL ETH Accume,Mine & Sell USD Accumulated,50 ETH Accumulated,50% USD Accumulated,50% ETH USD Value,Mine & HODL ETH Value Accumulated (USD),50/50 Val,Rig Value,Mine & HODL,Mine & Sell,50% Sell 50% HODL,Buy ETH Directly,GPUStraight Line,GPU Buy Back Value,Electricity paid,Total Electricity Paid,Days Run,Price of ETH
1/12/2018,0.03092,38.99,0.02,19.49,1261.03,0.03092,38.99,0.02,19.49,19.49,38.99,38.99,4500,4536.69,4536.69,4536.69,4500,4500,2700,0.96,-2.3,1,1261.03
1/13/2018,0.03061,42.4,0.02,21.2,1385.02,0.06153,81.39,0.03,40.7,42.61,85.22,83.31,4487.67,4568.29,4564.45,4566.37,4942.46,4487.67,2700,0.96,-4.61,2,1385.02
1/14/2018,0.03011,40.94,0.02,20.47,1359.48,0.09165,122.33,0.05,61.16,62.3,124.59,123.46,4475.34,4593.02,4590.76,4591.89,4851.32,4475.34,2700,0.96,-6.91,3,1359.48
1/15/2018,0.02991,38.25,0.01,19.12,1278.69,0.12156,160.57,0.06,80.29,77.72,155.43,158,4463.01,4609.23,4614.37,4611.8,4563.02,4463.01,2700,0.96,-9.22,4,1278.69
1/16/2018,0.02965,31.14,0.01,15.57,1050.26,0.15121,191.72,0.08,95.86,79.4,158.81,175.26,4450.68,4597.97,4630.88,4614.43,3747.86,4450.68,2700,0.96,-11.52,5,1050.26
1/17/2018,0.02878,29.5,0.01,14.75,1024.69,0.17999,221.21,0.09,110.61,92.22,184.44,202.82,4438.36,4608.97,4645.74,4627.36,3656.62,4438.36,2700,0.96,-13.82,6,1024.69
1/18/2018,0.0288,29.17,0.01,14.58,1012.97,0.20879,250.38,0.1,125.19,105.75,211.5,230.94,4426.03,4621.4,4660.28,4640.84,3614.8,4426.03,2700,0.96,-16.13,7,1012.97
1/19/2018,0.02858,29.65,0.01,14.82,1037.36,0.23737,280.03,0.12,140.01,123.12,246.23,263.13,4413.7,4641.5,4675.29,4658.4,3701.83,4413.7,2700,0.96,-18.43,8,1037.36
1/20/2018,0.02749,31.63,0.01,15.82,1150.5,0.26486,311.66,0.13,155.83,152.36,304.72,308.19,4401.37,4685.35,4692.29,4688.82,4105.57,4401.37,2700,0.96,-20.74,9,1150.5
1/21/2018,0.02693,28.25,0.01,14.13,1049.09,0.29179,339.91,0.15,169.95,153.06,306.11,323.01,4389.04,4672.11,4705.91,4689.01,3743.69,4389.04,2700,0.96,-23.04,10,1049.09
1/22/2018,0.02651,26.5,0.01,13.25,999.64,0.3183,366.41,0.16,183.21,159.09,318.19,342.3,4376.71,4669.55,4717.78,4693.67,3567.23,4376.71,2700,0.96,-25.34,11,999.64
1/23/2018,0.02676,26.35,0.01,13.17,984.47,0.34506,392.76,0.17,196.38,169.85,339.71,366.23,4364.38,4676.44,4729.5,4702.97,3513.09,4364.38,2700,0.96,-27.65,12,984.47
1/24/2018,0.02602,27.63,0.01,13.81,1061.78,0.37109,420.39,0.19,210.19,197.01,394.01,407.2,4352.05,4716.11,4742.49,4729.3,3788.97,4352.05,2700,0.96,-29.95,13,1061.78
1/25/2018,0.02525,26.42,0.01,13.21,1046.37,0.39633,446.81,0.2,223.4,207.36,414.71,430.76,4339.73,4722.18,4754.28,4738.23,3733.98,4339.73,2700,0.96,-32.26,14,1046.37
1/26/2018,0.0252,26.42,0.01,13.21,1048.58,0.42153,473.23,0.21,236.61,221,442.01,457.62,4327.4,4734.85,4766.07,4750.46,3741.87,4327.4,2700,0.96,-34.56,15,1048.58
1/27/2018,0.02522,27.97,0.01,13.99,1109.08,0.44675,501.2,0.22,250.6,247.74,495.48,498.34,4315.07,4773.69,4779.4,4776.55,3957.76,4315.07,2700,0.96,-36.86,16,1109.08
1/28/2018,0.02514,30.97,0.01,15.48,1231.58,0.4719,532.17,0.24,266.08,290.59,581.18,556.67,4302.74,4844.75,4795.74,4820.24,4394.91,4302.74,2700,0.96,-39.17,17,1231.58
1/29/2018,0.02459,28.77,0.01,14.38,1169.96,0.49648,560.93,0.25,280.47,290.43,580.87,570.9,4290.41,4829.8,4809.87,4819.84,4175.02,4290.41,2700,0.96,-41.47,18,1169.96
1/30/2018,0.02436,25.92,0.01,12.96,1063.75,0.52085,586.85,0.26,293.42,277.02,554.05,570.45,4278.08,4788.36,4821.16,4804.76,3796,4278.08,2700,0.96,-43.78,19,1063.75
1/31/2018,0.02403,26.7,0.01,13.35,1111.31,0.54487,613.55,0.27,306.78,302.76,605.52,609.54,4265.75,4825.2,4833.22,4829.21,3965.72,4265.75,2700,0.96,-46.08,20,1111.31
2/1/2018,0.02399,24.62,0.01,12.31,1026.19,0.56886,638.17,0.28,319.09,291.88,583.76,610.97,4253.42,4788.8,4843.21,4816.01,3661.97,4253.42,2700,0.96,-48.38,21,1026.19
2/2/2018,0.02336,21.44,0.01,10.72,917.47,0.59223,659.61,0.3,329.8,271.68,543.35,601.48,4241.1,4733.76,4850.01,4791.89,3274,4241.1,2700,0.96,-50.69,22,917.47
2/3/2018,0.02275,22.08,0.01,11.04,970.87,0.61498,681.69,0.31,340.85,298.53,597.06,639.38,4228.77,4772.84,4857.47,4815.15,3464.56,4228.77,2700,0.96,-52.99,23,970.87
2/4/2018,0.02271,18.79,0.01,9.4,827.59,0.63768,700.48,0.32,350.24,263.87,527.74,614.11,4216.44,4688.88,4861.63,4775.26,2953.26,4216.44,2700,0.96,-55.3,24,827.59
2/5/2018,0.02251,15.65,0.01,7.82,695.08,0.66019,716.13,0.33,358.07,229.44,458.89,587.51,4204.11,4605.4,4862.64,4734.02,2480.4,4204.11,2700,0.96,-57.6,25,695.08
2/6/2018,0.02256,17.71,0.01,8.86,785.01,0.68276,733.84,0.34,366.92,267.99,535.97,634.91,4191.78,4667.85,4865.72,4766.78,2801.32,4191.78,2700,0.96,-59.9,26,785.01
2/7/2018,0.02202,16.55,0.01,8.28,751.81,0.70477,750.4,0.35,375.2,264.93,529.86,640.13,4179.45,4647.1,4867.64,4757.37,2682.84,4179.45,2700,0.96,-62.21,27,751.81
2/8/2018,0.022,17.9,0.01,8.95,813.55,0.72678,768.3,0.36,384.15,295.63,591.27,679.78,4167.12,4693.88,4870.91,4782.39,2903.16,4167.12,2700,0.96,-64.51,28,813.55
2/9/2018,0.02162,18.98,0.01,9.49,877.88,0.7484,787.27,0.37,393.64,328.5,657,722.14,4154.79,4744.98,4875.25,4810.12,3132.72,4154.79,2700,0.96,-66.82,29,877.88
2/10/2018,0.02196,18.68,0.01,9.34,850.75,0.77035,805.95,0.39,402.98,327.69,655.38,730.67,4142.47,4728.72,4879.3,4804.01,3035.91,4142.47,2700,0.96,-69.12,30,850.75
2/11/2018,0.02109,17.11,0.01,8.55,811.24,0.79144,823.06,0.4,411.53,321.02,642.05,732.55,4130.14,4700.76,4881.77,4791.27,2894.92,4130.14,2700,0.96,-71.42,31,811.24
2/12/2018,0.02103,18.19,0.01,9.1,865.27,0.81247,841.25,0.41,420.63,351.5,703,772.13,4117.81,4747.08,4885.33,4816.21,3087.73,4117.81,2700,0.96,-73.73,32,865.27
2/13/2018,0.02085,17.53,0.01,8.77,840.98,0.83331,858.79,0.42,429.39,350.4,700.8,779.79,4105.48,4730.25,4888.23,4809.24,3001.05,4105.48,2700,0.96,-76.03,33,840.98
2/14/2018,0.02102,19.34,0.01,9.67,920.11,0.85433,878.13,0.43,439.06,393.04,786.08,832.1,4093.15,4800.89,4892.94,4846.92,3283.42,4093.15,2700,0.96,-78.34,34,920.11
2/15/2018,0.02139,19.85,0.01,9.92,927.95,0.87572,897.97,0.44,448.99,406.31,812.62,855.3,4080.82,4812.81,4898.15,4855.48,3311.4,4080.82,2700,0.96,-80.64,35,927.95
2/16/2018,0.02071,19.42,0.01,9.71,938.02,0.89642,917.39,0.45,458.7,420.43,840.86,879.13,4068.49,4826.41,4902.94,4864.68,3347.34,4068.49,2700,0.96,-82.94,36,938.02
2/17/2018,0.02092,20.39,0.01,10.2,974.77,0.91735,937.79,0.46,468.89,447.1,894.2,915.99,4056.16,4865.12,4908.7,4886.91,3478.48,4056.16,2700,0.96,-85.25,37,974.77
2/18/2018,0.02081,19.01,0.01,9.51,913.9,0.93815,956.8,0.47,478.4,428.69,857.38,907.09,4043.84,4813.66,4913.09,4863.37,3261.26,4043.84,2700,0.96,-87.55,38,913.9
2/19/2018,0.02083,19.57,0.01,9.79,939.79,0.95898,976.38,0.48,488.19,450.62,901.24,938.81,4031.51,4842.89,4918.03,4880.46,3353.65,4031.51,2700,0.96,-89.86,39,939.79
2/20/2018,0.02118,18.76,0.01,9.38,885.52,0.98016,995.13,0.49,497.57,433.98,867.95,931.54,4019.18,4794.97,4922.15,4858.56,3159.99,4019.18,2700,0.96,-92.16,40,885.52
2/21/2018,0.02127,17.87,0.01,8.93,840.1,1.00143,1013,0.5,506.5,420.65,841.3,927.15,4006.85,4753.69,4925.39,4839.54,2997.91,4006.85,2700,0.96,-94.46,41,840.1
2/22/2018,0.0207,16.66,0.01,8.33,804.63,1.02213,1029.66,0.51,514.83,411.22,822.44,926.05,3994.52,4720.19,4927.41,4823.8,2871.33,3994.52,2700,0.96,-96.77,42,804.63
2/23/2018,0.02078,17.76,0.01,8.88,854.7,1.04291,1047.42,0.52,523.71,445.69,891.38,969.4,3982.19,4774.5,4930.54,4852.52,3050.01,3982.19,2700,0.96,-99.07,43,854.7
