Date(UTC),Value
2018-03-04,439.99
2018-03-15,367.15
2018-03-17,459.65333333333336
2018-03-18,489.0
2018-03-20,449.0
2018-03-21,399.99
2018-03-23,412.5
2018-03-25,442.14
2018-03-26,442.06
2018-03-27,439.95
2018-03-30,400.115
2018-04-02,429.95
2018-04-04,424.95
2018-04-05,399.95
2018-04-13,389.99
2018-04-17,347.99
2018-04-19,303.09
2018-04-20,351.52
2018-04-22,399.95
2018-04-24,335.13666666666666
2018-04-26,379.95
2018-04-29,378.99
2018-04-30,379.95
2018-05-02,354.49
2018-05-03,321.79999999999995
2018-05-04,310.43
2018-05-06,337.6
2018-05-08,349.99
2018-05-10,339.99
2018-05-11,314.99
2018-05-12,319.99
2018-05-13,307.49
2018-05-14,319.99
2018-05-16,299.99
2018-05-17,319.99
2018-05-18,399.99
2018-05-21,318.19
2018-05-22,399.99
2018-05-23,319.12
2018-05-29,359.555
2018-05-30,304.33
2018-06-01,300.62
2018-06-02,295.99
2018-06-04,324.95
2018-06-05,329.95
2018-06-06,295.99
2018-06-09,295.95
2018-06-17,289.99
2018-06-18,279.99
2018-06-19,273.74
2018-06-20,263.74
2018-06-23,286.982
2018-06-25,259.99
2018-06-28,264.47
2018-06-29,279.0
2018-07-03,259.99
2018-07-05,279.0
2018-07-07,269.99
2018-07-10,240.62
2018-07-13,251.99
2018-07-14,243.9
2018-07-18,249.74
2018-07-24,258.99
2018-07-25,249.74
2018-08-01,242.99
2018-08-02,248.3066666666667
2018-08-03,249.74
2018-08-04,247.89
2018-08-08,241.19
2018-08-09,241.19
2018-08-10,241.19
2018-08-14,234.49
2018-08-16,224.99
2018-08-18,224.99
2018-08-19,221.99
2018-08-29,289.0
2018-08-30,264.225
2018-08-31,234.29250000000002
2018-09-01,245.875
2018-09-02,242.51
2018-09-03,219.65
2018-09-04,242.51
2018-09-05,214.31
2018-09-08,226.56
2018-09-09,231.24
2018-09-11,224.37
2018-09-12,224.37
2018-09-14,230.62
2018-09-15,230.135
2018-09-17,228.56333333333336
2018-09-21,199.99
2018-09-26,215.37
2018-10-01,221.99
2018-10-03,215.495
2018-10-04,220.99
2018-10-06,228.9
2018-10-10,218.95
2018-10-11,214.365
2018-10-19,208.12
2018-10-26,189.99
2018-10-27,168.74
2018-10-28,188.43
2018-10-30,199.99
2018-11-11,220.41
2018-11-13,205.79
2018-11-15,199.99
2018-11-16,205.79
2018-11-22,199.65
2018-11-24,205.79
2018-11-25,211.67
2018-11-26,211.405
2018-11-27,221.58166666666668
2018-11-29,185.0
2018-12-05,179.99
2018-12-06,179.99
2018-12-11,185.0
2018-12-13,172.495
2018-12-14,159.15666666666667
2018-12-15,164.82666666666668
2018-12-17,165.0
2018-12-18,159.99
2018-12-19,161.245
2018-12-20,165.0
2018-12-24,155.0
2018-12-27,154.95
2019-01-06,204.49
2019-01-07,185.9766666666667
2019-01-09,199.99
2019-01-10,198.99
2019-01-13,197.14
2019-01-14,197.99
2019-01-17,195.99
2019-01-20,194.88
2019-01-21,189.0
2019-01-25,205.79
2019-01-27,189.0
2019-01-28,203.39
2019-02-03,211.49
2019-02-04,201.45333333333335
2019-02-05,188.39
2019-02-10,204.74
2019-02-11,204.54
2019-02-19,197.99
2019-02-20,197.6
2019-02-22,179.0
2019-02-23,197.6
2019-02-28,190.65
2019-03-01,190.0
2019-03-07,180.4
2019-03-08,188.06
2019-03-09,188.99
2019-03-10,185.99
2019-03-13,184.0
2019-03-15,186.325
2019-03-16,184.0
2019-03-19,194.09
2019-03-21,194.0
2019-03-22,185.57
2019-03-26,182.71
2019-03-27,164.99
2019-04-09,162.485
2019-04-10,164.98
2019-04-11,159.99
2019-04-12,164.98
2019-04-14,157.84
2019-04-26,152.22
2019-05-08,145.27
2019-05-10,144.31
2019-05-19,151.26
2019-05-25,158.2
2019-05-30,166.3
2019-06-02,158.2
2019-06-04,162.25
2019-06-06,149.99
2019-06-08,154.095
2019-06-10,147.99
2019-06-12,158.2
2019-06-13,166.3
2019-06-14,159.74
2019-06-18,168.35500000000002
2019-06-21,167.22
2019-06-23,176.72
2019-06-25,154.88
2019-06-28,154.885
2019-06-30,140.0
2019-07-01,166.3775
2019-07-06,177.0
2019-07-09,170.92
2019-07-13,159.99
2019-07-14,170.92
2019-07-15,177.0
2019-07-20,177.87
2019-07-23,168.62
2019-07-29,173.25
2019-08-07,164.405
2019-08-10,163.965
2019-08-12,164.93
2019-08-20,166.93
2019-08-23,162.10500000000002
2019-08-25,169.99
2019-08-28,140.0
2019-08-29,169.99
2019-08-31,168.64
2019-09-02,169.315
2019-09-03,169.99
2019-09-09,167.95
2019-09-10,148.24
2019-09-12,159.38
2019-09-14,167.94
2019-09-15,161.695
2019-09-17,167.94
2019-09-18,164.01
2019-09-19,165.975
2019-09-20,167.94
2019-10-01,168.65
2019-10-02,173.18
2019-10-09,167.94
2019-10-13,168.65
2019-10-14,173.25
2019-10-15,168.65
2019-10-18,168.58
2019-10-21,167.99
2019-10-29,148.85500000000002
2019-10-30,156.78500000000003
2019-11-04,166.88
2019-11-06,165.17
2019-11-11,153.61
2019-11-18,142.04
2019-11-20,138.22
2019-11-21,114.55
2019-11-22,142.04
2019-11-23,138.75
2019-11-27,159.0
2019-11-28,147.28
2019-11-29,154.56
2019-11-30,169.0
2019-12-01,171.40333333333334
2019-12-02,165.97
2019-12-03,173.365
2019-12-04,170.97
2019-12-05,160.66666666666666
2019-12-06,159.99
2019-12-07,236.71
2019-12-08,203.495
2019-12-09,162.88
2019-12-10,170.28
2019-12-11,236.71
2019-12-14,180.59
2019-12-15,219.80333333333337
2019-12-16,216.5
2019-12-19,193.57000000000002
2019-12-20,183.99
2019-12-21,220.32999999999998
2019-12-22,183.99
2019-12-25,215.635
2019-12-26,249.0
2019-12-27,195.18999999999997
2019-12-28,217.785
2019-12-29,225.61666666666667
2019-12-30,172.85
2019-12-31,243.195
2020-01-02,241.1925
2020-01-03,234.805
2020-01-04,235.28
2020-01-05,204.43
2020-01-06,198.71
2020-01-07,188.8325
2020-01-08,197.86666666666667
2020-01-10,178.45
2020-01-11,239.78
2020-01-12,184.17
2020-01-13,238.28
2020-01-14,195.8075
2020-01-15,248.28
2020-01-16,129.72
2020-01-17,248.28
2020-01-18,172.66
2020-01-19,216.685
2020-01-21,189.68
2020-01-24,194.26
2020-01-27,172.96
2020-01-29,129.72
2020-01-30,172.96
2020-01-31,190.99
2020-02-01,190.99
2020-02-06,219.99
2020-02-07,169.98
2020-02-09,219.99
2020-02-10,172.48
2020-02-11,177.64
2020-02-12,174.98
2020-02-13,170.99
2020-02-14,175.77499999999998
2020-02-15,189.84
2020-02-18,213.99
2020-02-19,199.82
2020-02-21,181.96499999999997
2020-02-22,173.47
2020-02-23,168.5
2020-02-25,167.14
2020-02-26,179.98
2020-03-01,159.99
2020-03-04,169.985
2020-03-12,166.125
2020-03-13,149.95
2020-03-14,159.99
2020-03-15,149.95
